,Player,Pos,Age,Tm,G,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,PTS
594,Aleksej Pokusevski,PF,20,OKC,61,0.408,0.289,0.498,0.7,1.2,4.0,2.1,0.6,0.6,7.6
595,Yves Pons,SF,22,MEM,12,0.313,0.333,0.286,0.0,0.4,0.6,0.1,0.1,0.3,1.1
596,Jordan Poole,SG,22,GSW,76,0.448,0.364,0.55,0.925,0.4,3.0,4.0,0.8,0.3,18.5
597,Kevin Porter Jr.,PG,21,HOU,61,0.415,0.375,0.456,0.642,0.7,3.7,6.2,1.1,0.4,15.6
598,Michael Porter Jr.,SF,23,DEN,9,0.359,0.208,0.491,0.556,1.0,5.6,1.9,1.1,0.2,9.9
599,Otto Porter Jr.,PF,28,GSW,63,0.464,0.37,0.565,0.803,1.4,4.4,1.5,1.1,0.5,8.2
600,Bobby Portis,C,26,MIL,72,0.479,0.393,0.533,0.752,2.5,6.6,1.2,0.7,0.7,14.6
601,Kristaps Porzi??is,PF,26,TOT,51,0.459,0.31,0.532,0.867,2.0,6.1,2.3,0.7,1.6,20.2
604,Micah Potter,C,23,DET,3,0.455,0.0,0.556,1.0,1.3,1.7,0.0,0.3,0.3,4.0
605,Dwight Powell,C,30,DAL,82,0.671,0.351,0.703,0.783,2.1,2.8,1.2,0.5,0.5,8.7
606,Myles Powell,PG,24,PHI,11,0.294,0.167,0.364,1.0,0.1,0.5,0.3,0.1,0.0,1.2
607,Norman Powell,SF-SG,28,TOT,45,0.461,0.419,0.491,0.811,0.4,2.8,2.1,0.9,0.5,19.0
610,Joshua Primo,SG,19,SAS,50,0.374,0.307,0.444,0.746,0.6,1.6,1.6,0.4,0.5,5.8
611,Taurean Prince,PF,27,MIN,69,0.454,0.376,0.565,0.756,0.4,2.1,1.0,0.7,0.3,7.3
612,Payton Pritchard,SG,24,BOS,71,0.429,0.412,0.461,1.0,0.5,1.4,2.0,0.4,0.1,6.2
613,Trevelin Queen,SG,24,HOU,10,0.455,0.375,0.667,1.0,0.7,0.9,0.4,0.5,0.1,4.3
614,Neemias Queta,C,22,SAC,14,0.447,0.0,0.447,0.647,1.0,1.2,0.4,0.1,0.6,3.2
615,Immanuel Quickley,PG,22,NYK,78,0.392,0.346,0.448,0.881,0.4,2.8,3.5,0.7,0.0,11.3
616,Jahmi'us Ramsey,SG,20,SAC,19,0.414,0.278,0.475,0.5,0.2,0.5,0.4,0.1,0.1,3.2
617,Julius Randle,PF,27,NYK,72,0.411,0.308,0.458,0.756,1.7,8.2,5.1,0.7,0.5,20.1
618,Austin Reaves,SG,23,LAL,61,0.459,0.317,0.616,0.839,0.7,2.4,1.8,0.5,0.3,7.3
619,Cam Reddish,SF,22,TOT,49,0.404,0.359,0.442,0.902,0.5,1.6,1.0,1.0,0.3,10.1
622,Davon Reed,SG,26,DEN,48,0.503,0.43,0.587,0.667,0.3,2.0,1.1,0.5,0.2,4.4
623,Paul Reed,C,22,PHI,38,0.563,0.25,0.591,0.429,1.2,1.3,0.4,0.9,0.4,3.1
624,Naz Reid,C,22,MIN,77,0.489,0.343,0.568,0.765,1.3,2.6,0.9,0.5,0.9,8.3
625,Nick Richards,C,24,CHO,50,0.667,0.0,0.667,0.698,0.7,1.0,0.3,0.2,0.4,3.0
626,Josh Richardson,SG,28,TOT,65,0.438,0.415,0.458,0.889,0.6,2.2,1.8,0.9,0.4,10.2
629,Austin Rivers,SG,29,DEN,67,0.417,0.342,0.563,0.727,0.3,1.4,1.3,0.8,0.1,6.0
630,Duncan Robinson,SG,27,MIA,79,0.399,0.372,0.569,0.836,0.3,2.3,1.6,0.5,0.2,10.9
631,Justin Robinson,PG,24,TOT,25,0.301,0.295,0.313,0.5,0.2,0.7,1.3,0.4,0.0,3.1
635,Mitchell Robinson,C,23,NYK,72,0.761,0.0,0.761,0.486,4.1,4.5,0.5,0.8,1.8,8.5
636,Jeremiah Robinson-Earl,C,21,OKC,49,0.414,0.352,0.478,0.741,1.5,4.1,1.0,0.6,0.3,7.5
637,Isaiah Roby,PF,23,OKC,45,0.514,0.444,0.545,0.672,1.7,3.2,1.6,0.8,0.8,10.1
638,Rajon Rondo,PG,35,TOT,39,0.386,0.352,0.42,0.731,0.4,2.4,4.4,0.8,0.2,4.8
641,Derrick Rose,PG,33,NYK,26,0.445,0.402,0.467,0.968,0.8,2.2,4.0,0.8,0.5,12.0
642,Terrence Ross,SG,30,ORL,63,0.397,0.292,0.493,0.862,0.3,2.2,1.8,0.4,0.2,10.0
643,Terry Rozier,SG,27,CHO,73,0.444,0.374,0.516,0.852,0.8,3.5,4.5,1.3,0.3,19.3
644,Ricky Rubio,PG,31,CLE,34,0.363,0.339,0.38,0.854,0.4,3.7,6.6,1.4,0.2,13.1
645,D'Angelo Russell,PG,25,MIN,65,0.411,0.34,0.492,0.825,0.4,2.9,7.1,1.0,0.3,18.1
646,Matt Ryan,SF,24,BOS,1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
647,Domantas Sabonis,C-PF,25,TOT,62,0.573,0.312,0.623,0.741,3.2,8.9,5.2,1.0,0.4,18.9
650,Olivier Sarr,C,22,OKC,22,0.574,0.448,0.625,0.828,1.5,2.7,0.9,0.3,0.7,7.0
651,Tomá Satoransk?,SG,30,TOT,55,0.377,0.208,0.442,0.796,0.5,1.8,3.3,0.5,0.1,3.6
655,Jordan Schakel,SG,23,WAS,4,0.091,0.167,0.0,1.0,0.5,1.5,0.0,0.3,0.0,1.3
656,Admiral Schofield,SF,24,ORL,38,0.419,0.329,0.56,0.8,0.4,1.9,0.7,0.1,0.1,3.8
657,Dennis Schröder,SG-PG,28,TOT,64,0.431,0.344,0.477,0.853,0.5,2.8,4.6,0.8,0.1,13.5
660,Tre Scott,SF,25,CLE,2,0.5,0.0,0.6,0.0,0.5,0.5,0.0,0.5,0.5,3.0
661,Jay Scrubb,SG,21,LAC,18,0.391,0.286,0.48,0.7,0.1,0.8,0.4,0.2,0.2,2.7
662,Wayne Selden,SG,27,NYK,3,0.25,0.5,0.0,0.5,0.0,0.3,0.3,0.0,0.0,1.7
663,Alperen Þengün,C,19,HOU,72,0.474,0.248,0.539,0.711,1.9,3.5,2.6,0.8,0.9,9.6
664,Collin Sexton,SG,23,CLE,11,0.45,0.244,0.538,0.744,1.2,2.1,2.1,0.9,0.0,16.0
665,Landry Shamet,SG,24,PHO,69,0.394,0.368,0.45,0.84,0.2,1.6,1.6,0.4,0.1,8.3
666,Day'Ron Sharpe,PF,20,BRK,32,0.577,0.286,0.592,0.585,2.5,2.5,0.5,0.3,0.5,6.2
667,Pascal Siakam,PF,27,TOR,68,0.494,0.344,0.527,0.749,1.9,6.6,5.3,1.3,0.6,22.8
668,Chris Silva,PF,25,TOT,10,0.533,0.0,0.533,0.833,1.3,2.3,0.7,0.0,0.1,2.6
671,Marko Simonovic,C,22,CHI,9,0.267,0.2,0.3,0.727,0.6,0.6,0.0,0.1,0.1,1.9
672,Anfernee Simons,SG,22,POR,57,0.443,0.405,0.49,0.888,0.5,2.2,3.9,0.5,0.1,17.3
673,Zavier Simpson,PG,24,OKC,4,0.365,0.125,0.409,1.0,0.5,4.8,7.5,1.3,1.0,11.0
674,Jericho Sims,PF,23,NYK,41,0.722,0.0,0.722,0.414,1.5,2.6,0.5,0.3,0.5,2.2
675,Deividas Sirvydis,SG,21,DET,3,0.1,0.143,0.0,0.0,0.0,2.0,0.3,1.0,0.3,1.0
676,Javonte Smart,PG,22,TOT,17,0.317,0.296,0.333,0.833,0.3,1.1,0.9,0.4,0.2,3.0
679,Marcus Smart,PG,27,BOS,71,0.418,0.331,0.506,0.793,0.6,3.2,5.9,1.7,0.3,12.1
680,Dennis Smith Jr.,PG,24,POR,37,0.418,0.222,0.451,0.656,0.5,1.8,3.6,1.2,0.3,5.6
681,Ish Smith,PG,33,TOT,65,0.43,0.373,0.441,0.625,0.4,1.8,3.8,0.7,0.4,6.3
684,Jalen Smith,PF,21,TOT,51,0.503,0.328,0.596,0.765,2.0,4.0,0.5,0.3,0.8,9.2
687,Xavier Sneed,SF,24,TOT,9,0.2,0.125,0.5,0.0,0.2,0.4,0.1,0.0,0.0,0.6
690,Tony Snell,SG,30,TOT,53,0.404,0.352,0.558,1.0,0.3,1.6,0.5,0.3,0.2,3.5
693,Jaden Springer,SG,19,PHI,2,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
694,Cassius Stanley,SG,22,DET,9,0.413,0.235,0.517,1.0,0.6,1.6,0.4,0.6,0.2,5.8
695,Nik Stauskas,SG,28,TOT,8,0.357,0.4,0.25,0.667,0.1,0.3,0.3,0.0,0.0,2.3
698,Lance Stephenson,SG-SF,31,TOT,46,0.455,0.3,0.515,0.788,0.3,2.5,3.6,0.5,0.1,8.3
701,Lamar Stevens,PF,24,CLE,63,0.489,0.277,0.543,0.707,0.7,1.9,0.7,0.5,0.3,6.1
702,Isaiah Stewart,C,20,DET,71,0.51,0.326,0.529,0.718,3.2,5.5,1.2,0.3,1.1,8.3
703,Max Strus,SF,25,MIA,68,0.441,0.41,0.557,0.792,0.4,2.6,1.4,0.4,0.2,10.6
704,Jalen Suggs,PG,20,ORL,48,0.361,0.214,0.443,0.773,0.5,3.0,4.4,1.2,0.4,11.8
705,Craig Sword,SG,28,WAS,3,0.75,0.0,1.0,0.0,0.0,0.0,0.3,1.3,0.0,2.0
706,Keifer Sykes,PG,28,IND,32,0.363,0.3,0.42,0.882,0.3,1.2,1.9,0.4,0.1,5.6
707,Jae'Sean Tate,SF,26,HOU,78,0.498,0.312,0.569,0.707,1.7,3.7,2.8,0.9,0.5,11.8
708,Jayson Tatum,SF,23,BOS,76,0.453,0.353,0.524,0.853,1.1,6.9,4.4,1.0,0.6,26.9
709,Terry Taylor,SG,22,IND,33,0.614,0.316,0.676,0.706,2.9,2.3,1.2,0.4,0.2,9.6
710,Garrett Temple,SG,35,NOP,59,0.376,0.319,0.473,0.683,0.5,1.9,1.3,0.7,0.4,5.2
711,Emanuel Terry,PF,25,PHO,3,0.0,0.0,0.0,0.0,2.7,2.3,0.7,0.3,0.0,0.0
712,Tyrell Terry,PG,21,MEM,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
713,Jon Teske,C,24,MEM,3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.0,0.0
714,Daniel Theis,C,29,TOT,47,0.519,0.308,0.641,0.681,1.3,3.6,0.9,0.4,0.7,8.2
717,Brodric Thomas,SG,25,BOS,12,0.444,0.222,0.667,0.6,0.2,0.7,0.9,0.1,0.1,1.8
718,Cam Thomas,SG,20,BRK,67,0.433,0.27,0.52,0.829,0.2,2.2,1.2,0.5,0.1,8.5
719,Isaiah Thomas,PG,32,TOT,22,0.401,0.337,0.464,0.846,0.2,1.1,1.5,0.3,0.2,8.4
723,Matt Thomas,SG,27,CHI,40,0.41,0.385,0.465,0.8,0.1,1.2,0.5,0.2,0.1,4.0
724,Klay Thompson,SG,31,GSW,32,0.429,0.385,0.477,0.902,0.5,3.4,2.8,0.5,0.5,20.4
725,Tristan Thompson,PF,30,TOT,57,0.528,0.333,0.53,0.526,2.1,2.9,0.6,0.4,0.4,6.0
729,JT Thor,PF,19,CHO,33,0.436,0.259,0.607,0.6,0.3,1.0,0.6,0.2,0.3,2.0
730,Matisse Thybulle,SG,24,PHI,66,0.5,0.313,0.673,0.791,0.6,1.7,1.1,1.7,1.1,5.7
731,Killian Tillie,C,23,MEM,36,0.339,0.314,0.39,0.625,0.6,1.1,0.6,0.6,0.4,3.3
732,Xavier Tillman Sr.,PF,23,MEM,53,0.454,0.204,0.527,0.648,1.2,1.8,1.2,0.9,0.3,4.8
733,Isaiah Todd,PF,20,WAS,12,0.269,0.25,0.3,0.333,0.3,0.8,0.3,0.3,0.2,1.7
734,Obi Toppin,PF,23,NYK,72,0.531,0.308,0.655,0.758,1.0,2.8,1.1,0.3,0.5,9.0
735,Juan Toscano-Anderson,SF,28,GSW,73,0.489,0.322,0.588,0.571,0.4,2.0,1.7,0.7,0.2,4.1
736,Karl-Anthony Towns,C,26,MIN,74,0.529,0.41,0.58,0.822,2.6,7.2,3.6,1.0,1.1,24.6
737,Gary Trent Jr.,SG,23,TOR,70,0.414,0.383,0.445,0.853,0.4,2.4,2.0,1.7,0.3,18.3
738,P.J. Tucker,PF,36,MIA,71,0.484,0.415,0.54,0.738,1.4,4.0,2.1,0.8,0.2,7.6
739,Rayjon Tucker,SG,24,TOT,5,0.667,0.8,0.5,0.714,0.6,1.0,2.0,0.8,0.0,4.2
742,Myles Turner,C,25,IND,42,0.509,0.333,0.662,0.752,1.5,5.5,1.0,0.7,2.8,12.9
743,Jonas Valan?i?nas,C,29,NOP,74,0.544,0.361,0.581,0.82,3.1,8.3,2.6,0.6,0.8,17.8
744,Denzel Valentine,SG,28,TOT,24,0.379,0.404,0.316,0.0,0.4,1.4,0.5,0.3,0.0,2.9
747,Jarred Vanderbilt,PF,22,MIN,74,0.587,0.143,0.605,0.656,2.9,5.5,1.3,1.3,0.6,6.9
748,Fred VanVleet,PG,27,TOR,65,0.403,0.377,0.44,0.874,0.7,3.8,6.7,1.7,0.5,20.3
749,Devin Vassell,SF,21,SAS,71,0.427,0.361,0.492,0.838,0.6,3.7,1.9,1.1,0.6,12.3
750,Gabe Vincent,PG,25,MIA,68,0.417,0.368,0.5,0.815,0.3,1.5,3.1,0.9,0.2,8.7
751,Nikola Vu?evi?,C,31,CHI,73,0.473,0.314,0.537,0.76,1.9,9.1,3.2,1.0,1.0,17.6
752,Dean Wade,PF,25,CLE,51,0.456,0.359,0.64,0.667,0.6,2.3,1.0,0.6,0.1,5.3
753,Franz Wagner,SF,20,ORL,79,0.468,0.354,0.511,0.863,1.1,3.4,2.9,0.9,0.4,15.2
754,Moritz Wagner,C,24,ORL,63,0.497,0.328,0.672,0.806,0.7,3.0,1.4,0.3,0.2,9.0
755,Ish Wainright,PF,27,PHO,45,0.394,0.322,0.489,0.583,0.6,0.6,0.3,0.4,0.1,2.4
756,Kemba Walker,PG,31,NYK,37,0.403,0.367,0.444,0.845,0.4,2.6,3.5,0.7,0.2,11.6
757,Lonnie Walker IV,SG,23,SAS,70,0.407,0.314,0.487,0.784,0.3,2.3,2.2,0.6,0.3,12.1
758,M.J. Walker,SG,23,PHO,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0
759,Tyrone Wallace,SG,27,NOP,6,0.35,0.25,0.417,0.2,0.0,1.3,0.2,0.5,0.2,2.8
760,Derrick Walton,PG,26,DET,3,0.231,0.231,0.231,1.0,0.7,2.7,7.0,2.3,1.3,6.3
761,Brad Wanamaker,PG,32,TOT,23,0.364,0.235,0.4,0.92,0.3,1.4,2.4,0.3,0.3,3.6
764,Duane Washington Jr.,PG,21,IND,48,0.405,0.377,0.434,0.754,0.1,1.6,1.8,0.5,0.1,9.9
765,P.J. Washington,PF,23,CHO,65,0.47,0.365,0.606,0.716,1.3,3.9,2.3,0.9,0.9,10.3
766,Yuta Watanabe,SF,27,TOR,38,0.406,0.342,0.492,0.6,0.5,1.9,0.6,0.3,0.4,4.3
767,Lindy Waters III,SG,24,OKC,25,0.406,0.363,0.621,0.8,0.2,2.7,1.0,0.8,0.3,8.0
768,Tremont Waters,PG,24,TOT,3,0.286,0.222,0.4,0.0,0.0,1.3,2.3,1.7,0.0,3.3
771,Trendon Watford,SF,21,POR,48,0.532,0.237,0.581,0.755,1.2,3.0,1.7,0.5,0.6,7.6
772,Paul Watson,SF,27,OKC,9,0.343,0.231,0.667,0.5,0.3,2.7,0.9,0.3,0.3,3.4
773,Quinndary Weatherspoon,SG,25,GSW,11,0.571,0.2,0.688,1.0,0.2,1.1,0.5,0.1,0.1,2.7
774,Russell Westbrook,PG,33,LAL,78,0.444,0.298,0.485,0.667,1.4,6.0,7.1,1.0,0.3,18.5
775,Coby White,PG,21,CHI,61,0.433,0.385,0.491,0.857,0.3,2.7,2.9,0.5,0.2,12.7
776,Derrick White,SG,27,TOT,75,0.421,0.312,0.515,0.864,0.5,3.0,4.9,0.9,0.8,13.2
779,Hassan Whiteside,C,32,UTA,65,0.652,0.0,0.652,0.623,2.6,5.0,0.4,0.3,1.6,8.2
780,Joe Wieskamp,SG,22,SAS,29,0.357,0.326,0.462,0.538,0.1,0.3,0.3,0.1,0.1,2.1
781,Aaron Wiggins,SG,23,OKC,50,0.463,0.304,0.573,0.729,1.0,2.5,1.4,0.6,0.2,8.3
782,Andrew Wiggins,SF,26,GSW,73,0.466,0.393,0.513,0.634,1.2,3.3,2.2,1.0,0.7,17.2
783,Lindell Wigginton,PG,23,MIL,19,0.426,0.346,0.486,0.543,0.2,1.2,1.2,0.3,0.1,4.2
784,Brandon Williams,PG,22,POR,24,0.372,0.292,0.42,0.701,0.8,2.3,3.9,1.0,0.4,12.9
785,Grant Williams,PF,23,BOS,77,0.475,0.411,0.569,0.905,0.8,2.7,1.0,0.5,0.7,7.8
786,Kenrich Williams,SF,27,OKC,49,0.461,0.339,0.536,0.545,1.5,3.0,2.2,0.9,0.2,7.4
787,Lou Williams,PG,35,ATL,56,0.391,0.363,0.404,0.859,0.3,1.3,1.9,0.5,0.1,6.3
788,Patrick Williams,PF,20,CHI,17,0.529,0.517,0.534,0.732,1.0,3.1,0.9,0.5,0.5,9.0
789,Robert Williams,C,24,BOS,61,0.736,0.0,0.738,0.722,3.9,5.7,2.0,0.9,2.2,10.0
790,Ziaire Williams,SF,20,MEM,62,0.45,0.314,0.632,0.782,0.4,1.7,1.0,0.6,0.2,8.1
791,D.J. Wilson,PF,25,TOR,4,0.733,0.0,0.846,0.8,0.3,3.8,1.3,1.3,0.3,7.5
792,Dylan Windler,SF,25,CLE,50,0.378,0.3,0.571,0.833,0.4,1.4,0.7,0.3,0.1,2.2
793,Justise Winslow,SF,25,TOT,48,0.428,0.227,0.497,0.591,1.0,3.2,1.8,0.7,0.5,5.7
796,Cassius Winston,PG,23,WAS,7,0.364,0.333,0.4,1.0,0.0,0.1,1.0,0.0,0.0,2.0
797,Christian Wood,C,26,HOU,68,0.501,0.39,0.57,0.623,1.6,8.5,2.3,0.8,1.0,17.9
798,Robert Woodard II,SF,22,SAC,12,0.125,0.25,0.083,1.0,0.4,0.5,0.3,0.1,0.1,0.6
799,Delon Wright,SG,29,ATL,77,0.454,0.379,0.51,0.857,0.6,2.2,2.4,1.2,0.2,4.4
800,McKinley Wright IV,PG,23,MIN,5,0.667,0.5,1.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0
801,Moses Wright,PF,23,TOT,4,0.25,0.0,0.333,1.0,0.3,0.5,0.5,0.0,0.3,1.3
804,Gabe York,SG,28,IND,2,0.286,0.167,1.0,0.6,0.0,1.0,2.0,1.0,0.5,4.0
805,Thaddeus Young,PF,33,TOT,52,0.518,0.354,0.554,0.469,1.5,2.5,2.0,1.0,0.3,6.2
808,Trae Young,PG,23,ATL,76,0.46,0.382,0.512,0.904,0.7,3.1,9.7,0.9,0.1,28.4
809,Omer Yurtseven,C,23,MIA,56,0.526,0.091,0.547,0.623,1.5,3.7,0.9,0.3,0.4,5.3
810,Cody Zeller,C,29,POR,27,0.567,0.0,0.593,0.776,1.9,2.8,0.8,0.3,0.2,5.2
811,Ivica Zubac,C,24,LAC,76,0.626,0.0,0.626,0.727,2.9,5.6,1.6,0.5,1.0,10.3
